Eh	INT	eh
beh	NOM	beh
,	PUN	,
enfin	ADV	enfin
une	DET:ART	un
véritable	ADJ	véritable
raison	NOM	raison
pour	PRP	pour
aller	VER:infi	aller
au	PRP:det	au
cinéma	NOM	cinéma
.	SENT	.
Durant	PRP	durant
la	DET:ART	le
séance	NOM	séance
,	PUN	,
on	PRO:PER	on
est	VER:pres	être
transporté	VER:pper	transporter
du	PRP:det	du
début	NOM	début
à	PRP	à
la	DET:ART	le
fin	NOM	fin
dans	PRP	dans
le	DET:ART	le
magnifique	ADJ	magnifique
monde	NOM	monde
de	PRP	de
Pandora	NOM	Pandora
.	SENT	.
On	PRO:PER	on
ne	ADV	ne
sait	VER:pres	savoir
plus	ADV	plus
faire	VER:infi	faire
la	DET:ART	le
différence	NOM	différence
entre	PRP	entre
les	DET:ART	le
effets	NOM	effet
spéciaux	ADJ	spécial
et	KON	et
la	DET:ART	le
réalité	NOM	réalité
.	SENT	.
Un	DET:ART	un
véritable	ADJ	véritable
chef	NOM	chef
d'oeuvre	NOM	d'oeuvre
technique	ADJ	technique
donc	ADV	donc
.	SENT	.
Mais	KON	mais
aussi	ADV	aussi
une	DET:ART	un
critique	NOM	critique
de	PRP	de
notre	DET:POS	notre
société	NOM	société
de	PRP	de
consommation	NOM	consommation
:	PUN	:
les	DET:ART	le
multinationales	ADJ	multinational
qui	PRO:REL	qui
s'	PRO:PER	se
implantent	VER:pres	implanter
dans	PRP	dans
les	DET:ART	le
pays	NOM	pays
du	PRP:det	du
Sud	NOM	Sud
,	PUN	,
s'	PRO:PER	se
appropriant	VER:ppre	approprier
les	DET:ART	le
ressources	NOM	ressource
locales	ADJ	local
pour	PRP	pour
les	PRO:PER	la|le
exporter	VER:infi	exporter
dans	PRP	dans
le	DET:ART	le
Nord	NOM	Nord
,	PUN	,
laissant	VER:ppre	laisser
dans	PRP	dans
la	DET:ART	le
pauvreté	NOM	pauvreté
la	DET:ART	le
plus	ADV	plus
complète	ADJ	complet
les	DET:ART	le
habitants	NOM	habitant
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
aussi	ADV	aussi
une	DET:ART	un
fable	NOM	fable
évidente	ADJ	évident
sur	PRP	sur
l'	DET:ART	le
écologie	NOM	écologie
.	SENT	.
Mr	ABR	monsieur
Cameron	NAM	Cameron
est	VER:pres	être
très	ADV	très
fort	ADJ	fort
pour	PRP	pour
inventer	VER:infi	inventer
des	PRP:det	du
mondes	NOM	monde
utopiques	ADJ	utopique
.	SENT	.
Pour	PRP	pour
certains	PRO:IND	certain
,	PUN	,
le	DET:ART	le
retour	NOM	retour
à	PRP	à
la	DET:ART	le
réalité	NOM	réalité
a	VER:pres	avoir
été	VER:pper	être
un	DET:ART	un
peu	ADV	peu
dur	ADJ	dur
xD	NOM	xD
.	SENT	.
Bref	ADV	bref
,	PUN	,
un	DET:ART	un
grand	ADJ	grand
merci	NOM	merci
à	PRP	à
ce	PRO:DEM	ce
réalisateur	NOM	réalisateur
de	PRP	de
génie	NOM	génie
qui	PRO:REL	qui
nous	PRO:PER	nous
a	VER:pres	avoir
fait	VER:pper	faire
rêvé	VER:pper	rêver
pendant	PRP	pendant
ces	PRO:DEM	ce
2h41	NOM	2h41
,	PUN	,
ça	PRO:DEM	cela
change	VER:pres	changer
vraiment	ADV	vraiment
du	PRP:det	du
quotidien	NOM	quotidien
!	SENT	!
Bref	ADV	bref
,	PUN	,
un	DET:ART	un
film	NOM	film
à	PRP	à
voir	VER:infi	voir
et	KON	et
à	PRP	à
revoir	VER:infi	revoir
,	PUN	,
même	ADV	même
si	KON	si
le	DET:ART	le
vatican	NOM	vatican
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
d'accord	ADV	d'accord
xD	ADJ	xD
