Oui	INT	oui
déception	NOM	déception
par	PRP	par
rapport	NOM	rapport
à	PRP	à
toute	PRO:IND	tout
la	DET:ART	le
pub	NOM	pub
de	PRP	de
faite	ADJ	fait
a	VER:pres	avoir
ce	PRO:DEM	ce
film	NOM	film
depuis	PRP	depuis
quelques	PRO:IND	quelque
mois	NOM	moi|mois
,	PUN	,
car	KON	car
il	PRO:PER	il
est	VER:pres	être
vrai	ADJ	vrai
qu'	PRO:REL	que
on	PRO:PER	on
est	VER:pres	être
loin	ADV	loin
d'	PRP	de
atteindre	VER:infi	atteindre
le	DET:ART	le
chef	NOM	chef
d'oeuvre	NOM	d'oeuvre
du	PRP:det	du
rire	NOM	rire
,	PUN	,
mais	KON	mais
avouons	VER:pres	avouer
tout	ADV	tout
de	PRP	de
même	ADV	même
que	KON	que
l'	PRO:PER	la|le
on	PRO:PER	on
passe	VER:pres	passer
un	DET:ART	un
bon	ADJ	bon
moment	NOM	moment
en	PRP	en
regardant	VER:ppre	regarder
ce	PRO:DEM	ce
nouveau	ADJ	nouveau
Asterix	NAM	Asterix
.	SENT	.
Grosse	ADJ	gros
distribution	NOM	distribution
c'	PRO:DEM	ce
est	VER:pres	être
vrai	ADJ	vrai
,	PUN	,
mais	KON	mais
Cornillac	NAM	Cornillac
est	VER:pres	être
hors	PRP	hors
sujet	ADJ	sujet
ou	KON	ou
plutot	ADJ	plutot
ce	PRO:DEM	ce
rôle	NOM	rôle
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
fait	VER:pper	faire
pour	PRP	pour
lui	PRO:PER	lui
,	PUN	,
et	KON	et
puis	ADV	puis
Alain	NAM	Alain
Delon	NAM	Delon
plusieurs	PRO:IND	plusieurs
fois	NOM	foi|fois
encadré	VER:pper	encadrer
dans	PRP	dans
le	DET:ART	le
générique	ADJ	générique
c'	PRO:DEM	ce
est	VER:pres	être
vraiment	ADV	vraiment
ridicule	ADJ	ridicule
...	PUN	...
Enfin	NOM	Enfin
,	PUN	,
cet	PRO:DEM	ce
Asterix	NAM	Asterix
s'	KON	si
il	PRO:PER	il
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
mémorable	ADJ	mémorable
,	PUN	,
reste	VER:pres	rester
un	DET:ART	un
bon	ADJ	bon
moment	NOM	moment
de	PRP	de
cinéma	NOM	cinéma
.	SENT	.
