Ce	PRO:DEM	ce
film	NOM	film
était	VER:impf	être
annoncé	VER:pper	annoncer
comme	ADV	comme
allant	VER:ppre	aller
révolutionner	VER:infi	révolutionner
la	DET:ART	le
3D	NOM	3D
et	KON	et
même	ADV	même
le	DET:ART	le
7e	NUM	7e
art	NOM	art
.	SENT	.
Points	NOM	point
négatifs	ADJ	négatif
:	PUN	:
un	DET:ART	un
scénario	NOM	scénario
décevant	ADJ	décevant
,	PUN	,
déjà	ADV	déjà
vu	VER:pper	voir
(	PUN	(
cf	NOM	cf
Le	DET:ART	le
dernier	ADJ	dernier
samourai	NOM	samourai
)	PUN	)
et	KON	et
cliché	VER:pper	clicher
;	PUN	;
la	DET:ART	le
3D	NOM	3D
n'	ADV	ne
apporte	VER:pres	apporter
pas	ADV	pas
grand	ADJ	grand
chose	NOM	chose
et	KON	et
on	PRO:PER	on
peut	VER:pres	pouvoir
voir	VER:infi	voir
le	DET:ART	le
film	NOM	film
sans	PRP	sans
.	SENT	.
Points	NOM	point
positifs	ADJ	positif
:	PUN	:
un	DET:ART	un
excellent	ADJ	excellent
jeu	NOM	jeu
d'	PRP	de
acteurs	NOM	acteur
,	PUN	,
un	DET:ART	un
univers	NOM	univers
féérique	ADJ	féérique
et	KON	et
envoutant	ADJ	envoutant
et	KON	et
des	PRP:det	du
graphismes	NOM	graphisme
de	PRP	de
toute	PRO:IND	tout
beauté	NOM	beauté
.	SENT	.
Cameron	NAM	Cameron
a	VER:pres	avoir
promis	VER:pper	promettre
de	PRP	de
faire	VER:infi	faire
une	DET:ART	un
suite	NOM	suite
si	KON	si
le	DET:ART	le
film	NOM	film
marchait	VER:impf	marcher
(	PUN	(
et	KON	et
il	PRO:PER	il
marche	VER:pres	marcher
,	PUN	,
voire	ADV	voire
court	ADJ	court
)	PUN	)
,	PUN	,
donc	ADV	donc
espérons	VER:pres	espérer
qu'	KON	que
il	PRO:PER	il
garde	VER:pres	garder
l'	DET:ART	le
univers	NOM	univers
et	KON	et
améliore	VER:pres	améliorer
le	DET:ART	le
sénario	NOM	sénario
pour	PRP	pour
un	DET:ART	un
deuxième	NUM	deuxième
opus	NOM	opus
qui	PRO:REL	qui
,	PUN	,
espérons	VER:pres	espérer
-le	PRO:PER	le
,	PUN	,
révolutionnera	VER:futu	révolutionner
pour	PRP	pour
de	PRP	de
vrai	ADJ	vrai
la	DET:ART	le
3D	NOM	3D
et	KON	et
le	DET:ART	le
cinéma	NOM	cinéma
.	SENT	.
