Oh	INT	oh
lala	NOM	lala
...	PUN	...
le	DET:ART	le
cinéma	NOM	cinéma
français	ADJ	français
est	VER:pres	être
clairement	ADV	clairement
au	PRP:det	au
plus	ADV	plus
mal	ADJ	mal
!	SENT	!
Après	KON	après
de	PRP	de
véritables	ADJ	véritable
bouses	NOM	bouse
comme	KON	comme
Les	DET:ART	le
Bronzés	NOM	Bronzés
3	NUM	@card@
,	PUN	,
l'	DET:ART	le
Ile	NAM	Ile
au	PRP:det	au
trésor	NOM	trésor
,	PUN	,
Big	NAM	Big
City	NAM	City
,	PUN	,
...	PUN	...
revoilà	VER:pres	revoilà
un	DET:ART	un
chef	NOM	chef
d'oeuvre	NOM	d'oeuvre
de	PRP	de
nullité	NOM	nullité
qui	PRO:REL	qui
pointe	VER:pres	pointer
le	DET:ART	le
bout	NOM	bout
de	PRP	de
son	DET:POS	son
nez	NOM	nez
!	SENT	!
Cet	PRO:DEM	ce
épisode	NOM	épisode
d'	PRP	de
Asterix	NAM	Asterix
enfonce	VER:pres	enfoncer
encore	ADV	encore
un	DET:ART	un
peu	ADV	peu
plus	ADV	plus
le	DET:ART	le
clou	NOM	clou
de	PRP	de
la	DET:ART	le
médiocrité	NOM	médiocrité
,	PUN	,
tout	ADV	tout
dans	PRP	dans
ce	PRO:DEM	ce
navet	NOM	navet
est	VER:pres	être
nul	ADJ	nul
!	SENT	!
Les	DET:ART	le
acteurs	NOM	acteur
sont	VER:pres	être
pitoyables	ADJ	pitoyable
(	PUN	(
Cornillac	NAM	Cornillac
est	VER:pres	être
ri-di-cu	ADJ	ri-di-cu
-le	PRO:PER	le
,	PUN	,
Poelvoorde	NAM	Poelvoorde
en	PRO:PER	en
fait	VER:pres	faire
de	PRP	de
nouveau	NOM	nouveau
3	NUM	@card@
tonnes	NOM	tonne
pour	PRP	pour
rien	NOM	rien
,	PUN	,
Delon	NAM	Delon
est	VER:pres	être
pathétique	ADJ	pathétique
au	PRP:det	au
possible	ADJ	possible
,	PUN	,
...	PUN	...
)	PUN	)
,	PUN	,
le	DET:ART	le
scénario	NOM	scénario
est	VER:pres	être
nul	ADJ	nul
et	KON	et
la	DET:ART	le
réalisation	NOM	réalisation
est	VER:pres	être
carrément	ADV	carrément
en	PRP	en
dessous	ADV	dessous
de	PRP	de
tout	PRO:IND	tout
avec	PRP	avec
des	PRP:det	du
FX	NOM	FX
à	PRP	à
vomir	VER:infi	vomir
!	SENT	!
Pauvre	ADJ	pauvre
,	PUN	,
pauvre	ADJ	pauvre
cinéma	NOM	cinéma
français	ADJ	français
!	SENT	!
!	SENT	!
!	SENT	!
