Oh	INT	oh
mon	DET:POS	mon
dieu	NOM	dieu
...	PUN	...
j'	PRO:PER	je
ai	VER:pres	avoir
adoré	VER:pper	adorer
arthur	ADJ	arthur
1	NUM	@card@
donc	ADV	donc
,	PUN	,
suite	NOM	suite
logique	ADJ	logique
je	PRO:PER	je
m'	PRO:PER	me
empresse	VER:pres	empresser
d'	PRP	de
aller	VER:infi	aller
voir	VER:infi	voir
la	DET:ART	le
suite	NOM	suite
,	PUN	,
qui	PRO:REL	qui
n'	ADV	ne
est	VER:pres	être
autre	ADJ	autre
qu'	KON	que
une	DET:ART	un
daube	NOM	daube
cinématographique	ADJ	cinématographique
faite	VER:pper	faire
juste	ADJ	juste
dans	PRP	dans
le	DET:ART	le
but	NOM	but
de	PRP	de
renfloué	VER:pper	renflouer
les	DET:ART	le
poches	NOM	poche
de	PRP	de
Mr	ABR	monsieur
Besson	NAM	Besson
,	PUN	,
ce	PRO:DEM	ce
film	NOM	film
est	VER:pres	être
une	DET:ART	un
honte	NOM	honte
!	SENT	!
n'	ADV	ne
allez	VER:pres	aller
surtout	ADV	surtout
pas	ADV	pas
voir	VER:infi	voir
sa	DET:POS	son
au	PRP:det	au
cinéma	NOM	cinéma
.	SENT	.
Le	DET:ART	le
sentiment	NOM	sentiment
de	PRP	de
la	DET:ART	le
salle	NOM	salle
à	PRP	à
la	DET:ART	le
fin	NOM	fin
du	PRP:det	du
film	NOM	film
...	PUN	...
la	DET:ART	le
déception	NOM	déception
,	PUN	,
l'	DET:ART	le
histoire	NOM	histoire
n'	ADV	ne
avance	VER:pres	avancer
pas	ADV	pas
,	PUN	,
aucune	PRO:IND	aucun
action	NOM	action
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
tout	ADV	tout
juste	ADJ	juste
si	KON	si
on	PRO:PER	on
se	PRO:PER	se
demande	VER:pres	demander
pas	ADV	pas
je	PRO:PER	je
vais	VER:pres	aller
me	PRO:PER	me
faire	VER:infi	faire
remboursé	VER:pper	rembourser
?	SENT	?
.	SENT	.
Ce	PRO:DEM	ce
truc	NOM	truc
est	VER:pres	être
bourré	VER:pper	bourrer
de	PRP	de
pub	NOM	pub
pour	PRP	pour
macdo	NOM	macdo
et	KON	et
autre	ADJ	autre
technologie	NOM	technologie
diverse	ADJ	divers
et	KON	et
varié	ADJ	varié
,	PUN	,
mais	KON	mais
comment	ADV	comment
peut	VER:pres	pouvoir
-on	PRO:PER	on
faire	VER:infi	faire
sa	DET:POS	son
a	VER:pres	avoir
son	DET:POS	son
public	NOM	public
,	PUN	,
3	NUM	@card@
ans	NOM	an
pour	PRP	pour
cette	PRO:DEM	ce
daube	NOM	daube
...	PUN	...
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
scandale	NOM	scandale
!	SENT	!
Le	DET:ART	le
prochain	NOM	prochain
je	PRO:PER	je
le	PRO:PER	le
verrai	VER:futu	voir
mais	KON	mais
pas	ADV	pas
en	PRO:PER	en
payant	VER:ppre	payer|payer
...	PUN	...
On	NAM	On
se	PRO:PER	se
demande	VER:pres	demander
pourquoi	ADV	pourquoi
le	DET:ART	le
piratage	NOM	piratage
existe	VER:pres	exister
aprés	ADJ	aprés
ça	PRO:DEM	cela
mais	KON	mais
c'	PRO:DEM	ce
est	VER:pres	être
compréhensible	ADJ	compréhensible
car	KON	car
payé	VER:pper	payer|payer
10€	NOM	10€
pour	PRP	pour
assité	NOM	assité
à	PRP	à
une	DET:ART	un
daube	NOM	daube
pareille	ADJ	pareil
.	SENT	.
Bref	ADV	bref
je	PRO:PER	je
m'	PRO:PER	me
arrete	VER:subp	arrete
là	ADV	là
vraiment	ADV	vraiment
déçu	VER:pper	décevoir
!	SENT	!
