Mon	DET:POS	mon
dieu	NOM	dieu
quelle	PRO:REL	quel
nullité	NOM	nullité
!	SENT	!
!	SENT	!
Désolée	VER:pper	désoler
mais	KON	mais
c'	PRO:DEM	ce
est	VER:pres	être
vraiment	ADV	vraiment
ce	PRO:DEM	ce
que	PRO:REL	que
je	PRO:PER	je
pense	VER:pres	penser
:	PUN	:
Quand	KON	quand
on	PRO:PER	on
a	VER:pres	avoir
vu	VER:pper	voir
le	DET:ART	le
premier	NOM	premier
on	PRO:PER	on
sait	VER:pres	savoir
déjà	ADV	déjà
ce	PRO:DEM	ce
qui	PRO:REL	qui
va	VER:pres	aller
se	PRO:PER	se
passer	VER:infi	passer
.	SENT	.
J'	PRO:PER	je
étais	VER:impf	être
avec	PRP	avec
une	DET:ART	un
amie	NOM	ami
et	KON	et
on	PRO:PER	on
prévoyais	VER:impf	prévoir
tout	ADV	tout
"	PUN:cit	"
tiens	VER:pres	tenir
là	ADV	là
y'a	VER:simp	y'a
un	DET:ART	un
camion	NOM	camion
qui	PRO:REL	qui
va	VER:pres	aller
arriver	VER:infi	arriver
et	KON	et
les	PRO:PER	la|le
écrabouiller	VER:infi	écrabouiller
"	PUN:cit	"
et	KON	et
hophophop	NOM	hophophop
qui	PRO:REL	qui
c'	PRO:DEM	ce
est	NOM	est
qui	PRO:REL	qui
arrive	VER:pres	arriver
?	SENT	?
Monsieur	NOM	monsieur
le	DET:ART	le
Camion	NOM	camion
en	PRP	en
personne	NOM	personne
,	PUN	,
sisi	NOM	sisi
!	SENT	!
Ensuite	ADV	ensuite
le	DET:ART	le
scénario	NOM	scénario
est	VER:pres	être
vraiment	ADV	vraiment
un	DET:ART	un
scénario	NOM	scénario
de	PRP	de
série	NOM	série
B	NAM	B
...	PUN	...
les	DET:ART	le
acteurs	NOM	acteur
font	VER:pres	faire
faux	ADJ	faux
,	PUN	,
l'	DET:ART	le
histoire	NOM	histoire
est	VER:pres	être
d'	PRP	de
un	DET:ART	un
nul	ADJ	nul
,	PUN	,
rien	NOM	rien
à	PRP	à
voir	VER:infi	voir
avec	PRP	avec
le	DET:ART	le
premier	NOM	premier
.	SENT	.
De	PRP	de
longues	ADJ	longue
scènes	NOM	scène
de	PRP	de
sexe	NOM	sexe
sont	VER:pres	être
ajoutées	VER:pper	ajouter
qui	PRO:REL	qui
ne	ADV	ne
riment	VER:pres	rimer
à	PRP	à
rien	NOM	rien
dans	PRP	dans
l'	DET:ART	le
histoire	NOM	histoire
,	PUN	,
c’est	NOM	c’est
vraiment	ADV	vraiment
du	PRP:det	du
sexe	NOM	sexe
pour	KON	pour
du	PRP:det	du
sexe	NOM	sexe
.	SENT	.
Bref	ADV	bref
dans	PRP	dans
ce	PRO:DEM	ce
film	NOM	film
on	PRO:PER	on
ne	ADV	ne
fait	VER:pres	faire
qu'	KON	que
attendre	VER:infi	attendre
qu'	KON	que
il	PRO:PER	il
se	PRO:PER	se
passe	VER:pres	passer
quelque	PRO:IND	quelque
chose	NOM	chose
;	PUN	;
et	KON	et
croyez	VER:pres	croire
moi	PRO:PER	moi
ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
à	PRP	à
cause	NOM	cause
du	PRP:det	du
suspense	NOM	suspense
!	SENT	!
Je	PRO:PER	je
respecte	VER:pres	respecter
l'	DET:ART	le
avis	NOM	avis
des	PRP:det	du
autres	ADJ	autre
,	PUN	,
mais	KON	mais
néanmoins	ADV	néanmoins
je	PRO:PER	je
ne	ADV	ne
peux	VER:pres	pouvoir
vraiment	ADV	vraiment
pas	ADV	pas
comprendre	VER:infi	comprendre
que	KON	que
certaines	PRO:IND	certain
personnes	NOM	personne
l'	PRO:PER	la|le
aient	VER:subp	avoir
trouvé	VER:pper	trouver
mieux	ADV	mieux
que	KON	que
le	DET:ART	le
premier	NOM	premier
.	SENT	.
Je	PRO:PER	je
le	PRO:PER	le
déconseille	VER:pres	déconseiller
donc	ADV	donc
fortement	ADV	fortement
.	SENT	.
