Navrant	VER:ppre	navrer
.	SENT	.
En	PRO:PER	en
atteste	VER:pres	attester
les	DET:ART	le
nombreuses	ADJ	nombreux
critiques	NOM	critique
négatives	ADJ	négatif
sur	PRP	sur
ce	PRO:DEM	ce
film	NOM	film
,	PUN	,
je	PRO:PER	je
ne	ADV	ne
suis	VER:pres	suivre|être
pas	ADV	pas
le	DET:ART	le
seul	NOM	seul
à	PRP	à
avoir	VER:infi	avoir
regretté	VER:pper	regretter
d'	PRP	de
avoir	VER:infi	avoir
payé	VER:pper	payer|payer
une	DET:ART	un
place	NOM	place
de	PRP	de
cinéma	NOM	cinéma
pour	PRP	pour
ce	PRO:DEM	ce
navet	NOM	navet
.	SENT	.
Incipide	NAM	Incipide
,	PUN	,
humour	NOM	humour
vaseux	ADJ	vaseux
qui	PRO:REL	qui
peine	VER:pres	peiner
à	PRP	à
vous	PRO:PER	vous
décrocher	VER:infi	décrocher
un	DET:ART	un
sourire	NOM	sourire
(	PUN	(
sauf	PRP	sauf
peut-etre	VER:infi	peut-etre
les	DET:ART	le
10	NUM	@card@
dernières	ADJ	dernier
minutes	NOM	minute
)	PUN	)
,	PUN	,
un	DET:ART	un
film	NOM	film
économique	ADJ	économique
,	PUN	,
trop	ADV	trop
de	PRP	de
stars	NOM	star
tuent	VER:pres	tuer
la	DET:ART	le
star	NOM	star
.	SENT	.
L'	DET:ART	le
ensemble	NOM	ensemble
est	VER:pres	être
mauvais	ADJ	mauvais
.	SENT	.
Le	DET:ART	le
sénario	NOM	sénario
,	PUN	,
les	DET:ART	le
décors	NOM	décor
à	PRP	à
la	DET:ART	le
Age	NAM	Age
of	VER:futu	of
Empire	NAM	Empire
,	PUN	,
la	DET:ART	le
bande	NOM	bande
son	DET:POS	son
,	PUN	,
les	DET:ART	le
répliques	NOM	réplique
.	SENT	.
Quelle	PRO:REL	quel
déception	NOM	déception
!	SENT	!
Un	DET:ART	un
chiffre	NOM	chiffre
pour	PRP	pour
ce	PRO:DEM	ce
film	NOM	film
,	PUN	,
19	NUM	@card@
,	PUN	,
le	DET:ART	le
nombre	NOM	nombre
de	PRP	de
fois	NOM	foi|fois
que	PRO:REL	que
j'	PRO:PER	je
ai	VER:pres	avoir
baillé	VER:pper	bailler
pendant	PRP	pendant
cette	PRO:DEM	ce
interminable	ADJ	interminable
séance	NOM	séance
.	SENT	.
