Affligeant	VER:ppre	affliger
!	SENT	!
et	KON	et
ceci	PRO:DEM	ceci
pour	PRP	pour
garder	VER:infi	garder
toute	PRO:IND	tout
mesure	NOM	mesure
.	SENT	.
Je	PRO:PER	je
sors	VER:pres	sortir
de	PRP	de
la	DET:ART	le
salle	NOM	salle
et	KON	et
je	PRO:PER	je
suis	VER:pres	suivre|être
dépité	VER:pper	dépiter
devant	ADV	devant
tant	ADV	tant
de	PRP	de
pauvreté	NOM	pauvreté
pour	PRP	pour
un	DET:ART	un
film	NOM	film
avec	PRP	avec
un	DET:ART	un
budget	NOM	budget
aussi	ADV	aussi
colossal(80	ADJ	colossal(80
millions	NOM	million
d'	PRP	de
euros	NOM	euro
)	PUN	)
.	SENT	.
A	VER:pres	avoir
trop	ADV	trop
vouloir	VER:infi	vouloir
contenter	VER:infi	contenter
les	DET:ART	le
uns	NOM	un
et	KON	et
les	DET:ART	le
autres	ADJ	autre
au	PRP:det	au
niveau	NOM	niveau
européen	ADJ	européen
on	PRO:PER	on
se	PRO:PER	se
perd	VER:pres	perdre
dans	PRP	dans
des	PRP:det	du
gags	NOM	gag
foireux	ADJ	foireux
,	PUN	,
ou	KON	ou
seul	ADJ	seul
quelque	PRO:IND	quelque
uns	NOM	un
m'	PRO:PER	me
ont	VER:pres	avoir
fais	VER:pres	faire
juste	ADJ	juste
sourire	NOM	sourire
.	SENT	.
Les	DET:ART	le
10	NUM	@card@
dernieres	NOM	dernieres
minutes	NOM	minute
à	PRP	à
elles	PRO:PER	elle
seules	NOM	seul
vous	PRO:PER	vous
arrachent	VER:pres	arracher
plus	ADV	plus
de	PRP	de
sourires	NOM	sourire
que	KON	que
le	DET:ART	le
film	NOM	film
jusque	PRP	jusque
là	ADV	là
.	SENT	.
Si	KON	si
je	PRO:PER	je
dois	VER:pres	devoir
en	PRP	en
sauver	VER:infi	sauver
un	NUM	un
;	PUN	;
je	PRO:PER	je
dirais	VER:cond	dire
A.	ABR	A.
DELON	NAM	DELON
pour	KON	pour
son	DET:POS	son
role	ADJ	role
volontairement	ADV	volontairement
cabotin	ADJ	cabotin
dans	PRP	dans
lequel	PRO:REL	lequel
il	PRO:PER	il
se	PRO:PER	se
moque	VER:pres	moquer
un	DET:ART	un
peu	ADV	peu
de	PRP	de
lui	PRO:PER	lui
mais	KON	mais
surtout	ADV	surtout
de	PRP	de
l'	DET:ART	le
image	NOM	image
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
lui	PRO:PER	lui
donne	VER:pres	donner
.	SENT	.
Toutes	PRO:IND	tout
ses	DET:POS	son
repliques	NOM	repliques
et	KON	et
les	DET:ART	le
clins	NOM	clin
d'	PRP	de
oeil	NOM	œil
autour	ADV	autour
de	PRP	de
sa	DET:POS	son
personne	NOM	personne
m'	PRO:PER	me
ont	VER:pres	avoir
bien	ADV	bien
plu	VER:pper	plaire|pleuvoir
.	SENT	.
Hélas	INT	hélas
,	PUN	,
ce	PRO:DEM	ce
fut	VER:simp	être
bien	ADV	bien
peu	ADV	peu
pour	PRP	pour
2H	NOM	2H
de	PRP	de
spectacle	NOM	spectacle
à	PRP	à
9	NUM	@card@
euros	NOM	euro
le	DET:ART	le
billet	NOM	billet
.	SENT	.
Le	DET:ART	le
cinéma	NOM	cinéma
français	ADJ	français
n'	ADV	ne
en	PRO:PER	en
sort	VER:pres	sortir
pas	ADV	pas
grandit	VER:pres	grandir
.	SENT	.
