C'	PRO:DEM	ce
est	VER:pres	être
long	ADJ	long
,	PUN	,
très	ADV	très
long	ADJ	long
,	PUN	,
2h45	NOM	2h45
pour	PRP	pour
un	DET:ART	un
scénario	NOM	scénario
qui	PRO:REL	qui
doit	VER:pres	devoir
faire	VER:infi	faire
1	NUM	@card@
page	NOM	page
.	SENT	.
Mais	KON	mais
quel	PRO:REL	quel
idée	VER:pres	idéer
de	PRP	de
faire	VER:infi	faire
des	PRP:det	du
films	NOM	film
si	ADV	si
long	ADJ	long
pour	PRP	pour
des	PRP:det	du
scénarios	NOM	scénario
aussi	ADV	aussi
pauvre	ADJ	pauvre
en	PRP	en
idée	NOM	idée
.	SENT	.
Si	KON	si
encore	ADV	encore
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
un	DET:ART	un
peu	ADV	peu
d'	PRP	de
humour	NOM	humour
ou	KON	ou
d'	PRP	de
action	NOM	action
,	PUN	,
mais	KON	mais
non	ADV	non
,	PUN	,
même	ADV	même
pas	ADV	pas
.	SENT	.
A	PRP	à
éviter	VER:infi	éviter
,	PUN	,
garder	VER:infi	garder
vos	DET:POS	votre
11	NUM	@card@
Euros	NOM	euro
pour	PRP	pour
aller	VER:infi	aller
voir	VER:infi	voir
d'	PRP	de
autres	ADJ	autre
films	NOM	film
qui	PRO:REL	qui
n'	ADV	ne
ont	VER:pres	avoir
pas	ADV	pas
150	NUM	@card@
millions	NOM	million
de	PRP	de
dollars	NOM	dollar
de	PRP	de
campagnes	NOM	campagne
marketing	NOM	marketing
,	PUN	,
mais	KON	mais
ont	VER:pres	avoir
des	PRP:det	du
idées	NOM	idée
et	KON	et
mise	VER:pper	mettre
plus	ADV	plus
sur	PRP	sur
le	DET:ART	le
scénario	NOM	scénario
.	SENT	.
A	PRP	à
la	DET:ART	le
base	NOM	base
,	PUN	,
je	PRO:PER	je
pense	VER:pres	penser
que	KON	que
le	DET:ART	le
cinémà	NOM	cinémà
sert	VER:pres	servir
à	PRP	à
nous	PRO:PER	nous
divertir	VER:infi	divertir
,	PUN	,
pas	ADV	pas
à	PRP	à
nous	PRO:PER	nous
demontrer	VER:infi	demontrer
qu'	KON	que
avec	PRP	avec
des	PRP:det	du
dollars	NOM	dollar
on	PRO:PER	on
peut	VER:pres	pouvoir
nous	PRO:PER	nous
faire	VER:infi	faire
de	PRP	de
la	DET:ART	le
3D	NOM	3D
révolutionnaire	ADJ	révolutionnaire
...	PUN	...
...	PUN	...
et	KON	et
le	DET:ART	le
divertissement	NOM	divertissement
passe	VER:pres	passer
par	PRP	par
un	DET:ART	un
bon	ADJ	bon
scénario	NOM	scénario
avant	PRP	avant
tout	NOM	tout
...	PUN	...
...	PUN	...
...	PUN	...
...	PUN	...
...	PUN	...
.	SENT	.
.	SENT	.
