Consternant	VER:ppre	consterner
,	PUN	,
déplorable	ADJ	déplorable
,	PUN	,
affligeant	ADJ	affligeant
.	SENT	.
Comment	ADV	comment
ce	PRO:DEM	ce
film	NOM	film
a	VER:pres	avoir
-t-il	PRO:PER	il
pu	VER:pper	pouvoir
coûter	VER:infi	coûter
aussi	ADV	aussi
cher	ADV	cher
?	SENT	?
!	SENT	!
?	SENT	?
C'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
catastrophe	NOM	catastrophe
totale	ADJ	total
:	PUN	:
"	PUN:cit	"
gags	NOM	gag
"	PUN:cit	"
inexistants	ADJ	inexistant
,	PUN	,
scénario	NOM	scénario
simpliste	ADJ	simpliste
à	PRP	à
pleurer	VER:infi	pleurer
,	PUN	,
un	DET:ART	un
Benoit	NAM	Benoit
Poelvoorde	NAM	Poelvoorde
qui	PRO:REL	qui
en	PRO:PER	en
fait	VER:pres	faire
trop	ADV	trop
...	PUN	...
bien	ADV	bien
trop	ADV	trop
!	SENT	!
D'ailleurs	ADV	d'ailleurs
,	PUN	,
"	PUN:cit	"
Brutus	NAM	Brutus
aux	PRP:det	au
Jeux	NAM	Jeux
Olympiques	NAM	Olympiques
"	PUN:cit	"
serait	VER:cond	être
un	DET:ART	un
bien	ADV	bien
meilleur	ADJ	meilleur
titre	NOM	titre
,	PUN	,
car	KON	car
Gérard	NAM	Gérard
Depardieu	NAM	Depardieu
et	KON	et
Clovis	NAM	Clovis
Cornillac	NAM	Cornillac
ont	VER:pres	avoir
un	DET:ART	un
rôle	NOM	rôle
aussi	ADV	aussi
insignifiant	ADJ	insignifiant
que	KON	que
celui	PRO:DEM	celui
d'	PRP	de
Idefix	NAM	Idefix
.	SENT	.
Et	KON	et
puis	ADV	puis
l'	DET:ART	le
histoire	NOM	histoire
des	PRP:det	du
coléoptères	NOM	coléoptère
pour	PRP	pour
le	DET:ART	le
dopage	NOM	dopage
:	PUN	:
Navrant	ADJ	navrant
!	SENT	!
Qui	PRO	qui
a	VER:pres	avoir
pu	VER:pper	pouvoir
imaginer	VER:infi	imaginer
un	DET:ART	un
truc	NOM	truc
pareil	ADJ	pareil
?	SENT	?
?	SENT	?
A	PRP	à
la	DET:ART	le
fin	NOM	fin
,	PUN	,
ce	PRO:DEM	ce
navet	NOM	navet
ressemble	VER:pres	ressembler
à	PRP	à
une	DET:ART	un
pub	NOM	pub
avec	PRP	avec
sa	DET:POS	son
ribambelle	NOM	ribambelle
de	PRP	de
guest	ADJ	guest
stars	NOM	star
...	PUN	...
Seul	NAM	Seul
Garcia	NAM	Garcia
,	PUN	,
derrière	PRP	derrière
ses	DET:POS	son
lunettes	NOM	lunette|lunettes
trop	ADV	trop
ridicules	ADJ	ridicule
,	PUN	,
a	VER:pres	avoir
réussi	VER:pper	réussir
à	PRP	à
me	PRO:PER	me
faire	VER:infi	faire
esquisser	VER:infi	esquisser
un	DET:ART	un
sourire	NOM	sourire
(	PUN	(
mais	KON	mais
peut-etre	NOM	peut-etre
suis	VER:pres	suivre|être
-je	PRO:PER	je
le	DET:ART	le
seul	NOM	seul
...	PUN	...
)	PUN	)
