Aucun	PRO:IND	aucun
interêt	NOM	interêt
de	PRP	de
revoir	VER:infi	revoir
bruce	NOM	bruce
willis	NOM	willis
dans	PRP	dans
ce	PRO:DEM	ce
qui	PRO:REL	qui
était	VER:impf	être
un	DET:ART	un
miracle	NOM	miracle
de	PRP	de
mise	NOM	mise
en	PRP	en
scène	NOM	scène
radical	ADJ	radical
et	KON	et
intelligente	ADJ	intelligent
.	SENT	.
L'	DET:ART	le
action	NOM	action
réduit	VER:pper	réduire
les	DET:ART	le
personnages	NOM	personnage
jusqu'	PRP	jusque
à	PRP	à
l'	DET:ART	le
abstraction	NOM	abstraction
,	PUN	,
c	VER:simp	c
indolore	ADJ	indolore
,	PUN	,
irréaliste	ADJ	irréaliste
et	KON	et
totalement	ADV	totalement
chiant	ADJ	chiant
.	SENT	.
Le	DET:ART	le
crétinisme	NOM	crétinisme
du	PRP:det	du
film	NOM	film
et	KON	et
le	DET:ART	le
deploiement	NOM	deploiement
des	PRP:det	du
moyens	NOM	moyen
se	PRO:PER	se
répondent	VER:pres	répondre
parfaitement	ADV	parfaitement
.	SENT	.
Les	DET:ART	le
amusantes	ADJ	amusant
incartades	NOM	incartade
politiques	ADJ	politique
ne	ADV	ne
suffisent	VER:pres	suffire
pas	ADV	pas
à	PRP	à
faire	VER:infi	faire
passer	VER:infi	passer
le	DET:ART	le
discours	NOM	discours
réactionnaire	ADJ	réactionnaire
,	PUN	,
et	KON	et
l'	DET:ART	le
histoire	NOM	histoire
s'	KON	si
evapore	NOM	evapore
à	PRP	à
mesure	NOM	mesure
que	KON	que
l'	DET:ART	le
intrigue	NOM	intrigue
avance	NOM	avance
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
ultra	NOM	ultra
balisé	VER:pper	baliser
et	KON	et
bruce	NOM	bruce
willis	NOM	willis
surjoue	VER:pres	surjoue
sans	PRP	sans
talent	NOM	talent
.	SENT	.
Heureusement	ADV	heureusement
Timothy	NAM	Timothy
Olyphznt	NAM	Olyphznt
et	KON	et
vraiment	ADV	vraiment
sexy	ADJ	sexy
,	PUN	,
mais	KON	mais
la	DET:ART	le
réalisation	NOM	réalisation
mention	NOM	mention
passable	ADJ	passable
peux	VER:pres	pouvoir
mieux	ADV	mieux
faire	VER:infi	faire
du	PRP:det	du
cinéaste	NOM	cinéaste
ne	ADV	ne
passe	VER:pres	passer
pas	ADV	pas
la	DET:ART	le
rampe	NOM	rampe
.	SENT	.
