Oh	INT	oh
mon	DET:POS	mon
dieu	NOM	dieu
!	SENT	!
!	SENT	!
!	SENT	!
Qu’ont	NAM	Qu’ont
-ils	PRO:PER	il
fait	VER:pres	faire
de	PRP	de
notre	DET:POS	notre
justicier	ADJ	justicier
favori	NOM	favori
?	SENT	?
?	SENT	?
?	SENT	?
La	DET:ART	le
ou	KON	ou
Tim	NAM	Tim
Burton	NAM	Burton
signait	VER:impf	signer
de	PRP	de
petits	ADJ	petit
bijoux	NOM	bijou
,	PUN	,
Joel	NAM	Joel
Schumacher	NAM	Schumacher
détruit	VER:pres	détruire
le	DET:ART	le
mythe	NOM	mythe
avec	PRP	avec
un	DET:ART	un
acteur	NOM	acteur
qui	PRO:REL	qui
adore	VER:pres	adorer
le	DET:ART	le
café	NOM	café
et	KON	et
qui	PRO:REL	qui
ne	ADV	ne
peut	VER:pres	pouvoir
pas	ADV	pas
s’arrêter	VER:infi	s’arrêter
de	PRP	de
dire	VER:infi	dire
des	PRP:det	du
conneries	NOM	connerie
.	SENT	.
Des	PRP:det	du
conneries	NOM	connerie
comme	KON	comme
«	PUN:cit	«
Je	PRO:PER	je
suis	VER:pres	suivre|être
Batman	NAM	Batman
»	PUN:cit	»
qu’il	NOM	qu’il
dit	VER:pper	dire
à	PRP	à
un	NUM	un
de	PRP	de
ses	DET:POS	son
ennemis	NOM	ennemi
:	PUN	:
le	DET:ART	le
glacial	ADJ	glacial
Mister	NAM	Mister
Freeze	NAM	Freeze
(	PUN	(
qui	PRO:REL	qui
,	PUN	,
avouons	VER:pres	avouer
-le	PRO:PER	le
,	PUN	,
a	VER:pres	avoir
de	PRP	de
chouettes	ADJ	chouette
pantoufles	NOM	pantoufle
)	PUN	)
.	SENT	.
Comme	ADV	comme
si	KON	si
Mister	NAM	Mister
Freeze	NAM	Freeze
avait	VER:impf	avoir
besoin	NOM	besoin
que	KON	que
Batman	NAM	Batman
se	PRO:PER	se
présente	VER:pres	présenter
.	SENT	.
Et	KON	et
puis	ADV	puis
,	PUN	,
Robin	NAM	Robin
est	VER:pres	être
une	DET:ART	un
vraie	ADJ	vrai
tête	NOM	tête
de	PRP	de
mule	NOM	mule
!	SENT	!
Étonnant	VER:ppre	étonner
que	KON	que
Batman	NAM	Batman
ne	ADV	ne
l’ai	VER:simp	l’ai
pas	ADV	pas
encore	ADV	encore
dégagé	VER:pper	dégager
de	PRP	de
son	DET:POS	son
manoir	NOM	manoir
.	SENT	.
En	PRO:PER	en
voyant	VER:ppre	voir
ça	PRO:DEM	cela
,	PUN	,
la	DET:ART	le
première	NUM	premier
chose	NOM	chose
qui	PRO:REL	qui
m’est	NOM	m’est
venue	VER:pper	venir
à	PRP	à
l’esprit	NOM	l’esprit
,	PUN	,
c’est	NOM	c’est
que	KON	que
ce	PRO:DEM	ce
film	NOM	film
était	VER:impf	être
plus	ADV	plus
une	DET:ART	un
pub	NOM	pub
pour	PRP	pour
vendre	VER:infi	vendre
des	PRP:det	du
jouets	NOM	jouet
qu’autre	VER:subp	qu’autre
chose	NOM	chose
.	SENT	.
Heureusement	ADV	heureusement
que	KON	que
Joel	NAM	Joel
Schumacher	NAM	Schumacher
n’ait	VER:impf	n’ait
pas	ADV	pas
réalisé	VER:pper	réaliser
un	DET:ART	un
troisième	NUM	troisième
opus	NOM	opus
.	SENT	.
