Quel	PRO:REL	quel
navet	NOM	navet
!	SENT	!
Comment	ADV	comment
des	PRP:det	du
excellents	ADJ	excellent
acteurs	NOM	acteur
comme	KON	comme
G.	NAM	G.
Depardieu	NAM	Depardieu
et	KON	et
A.	ABR	A.
Delon	NAM	Delon
peuvent	VER:pres	pouvoir
tourner	VER:infi	tourner
un	DET:ART	un
film	NOM	film
aussi	ADV	aussi
nulissime	ADJ	nulissime
!	SENT	!
"	PUN:cit	"
Astérix	NAM	Astérix
aux	PRP:det	au
J.	NAM	J.
O.	ABR	O.
"	PUN:cit	"
n'	ADV	ne
a	VER:pres	avoir
rien	ADV	rien
a	VER:pres	avoir
voir	VER:infi	voir
avec	PRP	avec
la	DET:ART	le
BD	ABR	BD
.	SENT	.
A	PRP	à
la	DET:ART	le
fin	NOM	fin
du	PRP:det	du
film	NOM	film
je	PRO:PER	je
me	PRO:PER	me
suis	VER:pres	suivre|être
rendu	VER:pper	rendre
comte	NOM	comte
que	KON	que
Astérix	NAM	Astérix
(	PUN	(
normalement	ADV	normalement
le	DET:ART	le
PETIT	NOM	petit
héro	NOM	héro
malin	ADJ	malin
)	PUN	)
avait	VER:impf	avoir
a	VER:pres	avoir
peine	NOM	peine
2	NUM	@card@
scènes	NOM	scène
!	SENT	!
Le	DET:ART	le
titre	NOM	titre
devrait	VER:cond	devoir
être	VER:infi	être
"	PUN:cit	"
Alafolix	NAM	Alafolix
aux	PRP:det	au
J.	NAM	J.
O.	ABR	O.
"	PUN:cit	"
ou	KON	ou
"	PUN:cit	"
Comment	VER:pres	Comment
perdre	VER:infi	perdre
son	DET:POS	son
temps	NOM	temps
devant	PRP	devant
un	DET:ART	un
écran	NOM	écran
de	PRP	de
cinéma	NOM	cinéma
"	PUN:cit	"
.	SENT	.
Je	PRO:PER	je
suis	VER:pres	suivre|être
peut-être	ADV	peut-être
un	DET:ART	un
peu	ADV	peu
trop	ADV	trop
dur	ADJ	dur
mais	KON	mais
,	PUN	,
T.	NAM	T.
Langmann	NAM	Langmann
devrait	VER:cond	devoir
changer	VER:infi	changer
de	PRP	de
métier	NOM	métier
.	SENT	.
A	PRP	à
éviter	VER:infi	éviter
et	KON	et
comme	ADV	comme
diraient	VER:cond	dire
nos	DET:POS	notre
amis	NOM	ami
Anglais	NAM	Anglais
:	PUN	:
"	PUN:cit	"
NO	NAM	NO
COMMENT	NAM	COMMENT
"	PUN:cit	"
.	SENT	.
EPOX	NOM	EPOX
