Ah	INT	ah
que	KON	que
dire	VER:infi	dire
d'	PRP	de
Avatar	NAM	Avatar
!	SENT	!
!	SENT	!
Certainemant	VER:ppre	Certainemant
un	DET:ART	un
des	PRP:det	du
plus	ADV	plus
grands	ADJ	grand
films	NOM	film
dans	PRP	dans
l'	DET:ART	le
histoire	NOM	histoire
du	PRP:det	du
cinéma	NOM	cinéma
.	SENT	.
Dès	PRP	dès
le	DET:ART	le
debut	NOM	debut
la	DET:ART	le
3D	NOM	3D
nous	PRO:PER	nous
en	PRO:PER	en
met	VER:pres	mettre
plein	ADJ	plein
la	DET:ART	le
vue	NOM	vue
,	PUN	,
une	DET:ART	un
véritable	ADJ	véritable
claque	NOM	claque
.	SENT	.
On	PRO:PER	on
est	VER:pres	être
littéralement	ADV	littéralement
plongé	VER:pper	plonger
dedans	ADV	dedans
,	PUN	,
l'	DET:ART	le
environnement	NOM	environnement
est	VER:pres	être
envoutant	ADJ	envoutant
.	SENT	.
Tout	PRO:IND	tout
est	VER:pres	être
réalisé	VER:pper	réaliser
à	PRP	à
la	DET:ART	le
perfection	NOM	perfection
.	SENT	.
Les	DET:ART	le
2h50	NOM	2h50
de	PRP	de
film	NOM	film
on	PRO:PER	on
ne	ADV	ne
les	PRO:PER	la|le
vois	VER:pres	voir
pas	ADV	pas
passés	VER:pper	passer
,	PUN	,
justement	ADV	justement
on	PRO:PER	on
en	PRO:PER	en
demande	VER:pres	demander
plus	ADV	plus
,	PUN	,
encore	ADV	encore
et	KON	et
encore	ADV	encore
...	PUN	...
Quand	NAM	Quand
je	PRO:PER	je
regarde	VER:pres	regarder
les	DET:ART	le
critiques	NOM	critique
négatives	ADJ	négatif
,	PUN	,
je	PRO:PER	je
ne	ADV	ne
comprend	VER:pres	comprendre
pas	ADV	pas
.	SENT	.
Ce	PRO:DEM	ce
sont	VER:pres	être
surement	NOM	surement
des	PRP:det	du
gens	NOM	gens
qui	PRO:REL	qui
prennent	VER:pres	prendre
leurs	DET:POS	leur
pieds	NOM	pied
en	PRP	en
regardant	VER:ppre	regarder
des	PRP:det	du
navets	NOM	navet
comme	KON	comme
la	DET:ART	le
Môme	NAM	Môme
ou	KON	ou
Amélie	NAM	Amélie
poulain	NOM	poulain
.	SENT	.
Bref	ADV	bref
ne	ADV	ne
regarder	VER:infi	regarder
pas	ADV	pas
ces	PRO:DEM	ce
critiques	NOM	critique
n'	ADV	ne
ayant	VER:ppre	avoir
aucun	PRO:IND	aucun
intêret	NOM	intêret
.	SENT	.
Foncez	VER:pres	foncer
voir	VER:infi	voir
Avatar	NAM	Avatar
sans	PRP	sans
hésitation	NOM	hésitation
.	SENT	.
Car	KON	car
ce	PRO:DEM	ce
film	NOM	film
est	VER:pres	être
tout	ADV	tout
simplement	ADV	simplement
de	PRP	de
toute	PRO:IND	tout
beauté	NOM	beauté
,	PUN	,
sublime	ADJ	sublime
,	PUN	,
grandiose	ADJ	grandiose
.	SENT	.
Bref	ADV	bref
du	PRP:det	du
très	ADV	très
grand	ADJ	grand
cinéma	NOM	cinéma
,	PUN	,
merci	NOM	merci
M.	NOM	monsieur
Cameron	NAM	Cameron
et	KON	et
à	PRP	à
quand	KON	quand
la	DET:ART	le
suite	NOM	suite
...	PUN	...
