Oui	INT	oui
le	DET:ART	le
film	NOM	film
est	VER:pres	être
beau	ADJ	beau
,	PUN	,
le	DET:ART	le
paysage	NOM	paysage
est	VER:pres	être
epoustouflant	NOM	epoustouflant
,	PUN	,
mais	KON	mais
disons	VER:pres	dire
le	PRO:PER	le
,	PUN	,
l'	DET:ART	le
histoire	NOM	histoire
est	VER:pres	être
du	PRP:det	du
revue	NOM	revue
et	KON	et
revue.	NOM	revue.
.	SENT	.
Pour	KON	pour
qu'	PRO:REL	que
on	PRO:PER	on
comprenne	VER:subp	comprendre
ma	DET:POS	mon
critique	NOM	critique
je	PRO:PER	je
vais	VER:pres	aller
faire	VER:infi	faire
des	PRP:det	du
comparaisons	NOM	comparaison
avec	PRP	avec
des	PRP:det	du
films	NOM	film
qui	PRO:REL	qui
m'	PRO:PER	me
ont	VER:pres	avoir
marqué	VER:pper	marquer
.	SENT	.
Avatar	NOM	avatar
:	PUN	:
15/20	NUM	@card@
car	KON	car
c'	PRO:DEM	ce
est	VER:pres	être
très	ADV	très
beau	ADJ	beau
et	KON	et
l'	DET:ART	le
histoire	NOM	histoire
passe	VER:pres	passer
quand	ADV	quand
même	ADJ	même
.	SENT	.
Watchmen	NAM	Watchmen
:	PUN	:
18/20	NUM	@card@
car	KON	car
c'	PRO:DEM	ce
est	VER:pres	être
beau	ADJ	beau
et	KON	et
l'	DET:ART	le
histoire	NOM	histoire
est	VER:pres	être
excellente	ADJ	excellent
.	SENT	.
Star	NOM	star
wars	NOM	wars
:	PUN	:
18/20	NUM	@card@
car	KON	car
c'	PRO:DEM	ce
est	VER:pres	être
beau	ADJ	beau
et	KON	et
le	DET:ART	le
monde	NOM	monde
inventé	VER:pper	inventer
est	VER:pres	être
hyper	VER:infi	hyper
riche	ADJ	riche
et	KON	et
quand	ADV	quand
même	ADV	même
réaliste	ADJ	réaliste
.	SENT	.
le	DET:ART	le
seigneurs	NOM	seigneur
des	PRP:det	du
anneaux	NOM	anneau
:	PUN	:
20/20	NUM	@card@
car	KON	car
ce	PRO:DEM	ce
film	NOM	film
est	VER:pres	être
parfait	ADJ	parfait
.	SENT	.
Voila	VER:simp	voiler
...	PUN	...
donc	ADV	donc
Avatar	NAM	Avatar
est	VER:pres	être
un	DET:ART	un
film	NOM	film
à	PRP	à
voir	VER:infi	voir
(	PUN	(
en3D	VER:simp	en3D
si	ADV	si
possible	ADJ	possible
)	PUN	)
mais	KON	mais
ne	ADV	ne
vous	PRO:PER	vous
attendez	VER:pres	attendre
pas	ADV	pas
à	PRP	à
la	DET:ART	le
révolution	NOM	révolution
annoncée	VER:pper	annoncer
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
très	ADV	très
très	ADV	très
beau	ADJ	beau
mais	KON	mais
franchement	ADV	franchement
,	PUN	,
y'a	VER:simp	y'a
des	PRP:det	du
gentils	NOM	gentil
très	ADV	très
gentils	ADJ	gentil
et	KON	et
des	PRP:det	du
méchants	NOM	méchant
très	ADV	très
méchants	ADJ	méchant
...	PUN	...
.	SENT	.
Voilà	ADV	voilà
...	PUN	...
Salam	NAM	Salam
à	PRP	à
tous	PRO:IND	tout
.	SENT	.
