Ah	INT	ah
je	PRO:PER	je
m'	PRO:PER	me
attendais	VER:impf	attendre
à	PRP	à
tout	PRO:IND	tout
en	PRP	en
allant	VER:ppre	aller
voir	VER:infi	voir
Avatar	NAM	Avatar
...	PUN	...
Quand	NAM	Quand
j'	PRO:PER	je
ai	VER:pres	avoir
vu	VER:pper	voir
les	DET:ART	le
premières	NUM	premier
images	NOM	image
(	PUN	(
avant	PRP	avant
sa	DET:POS	son
sortie	NOM	sortie
)	PUN	)
j'	PRO:PER	je
étais	VER:impf	être
assez	ADV	assez
peu	ADV	peu
emballé	VER:pper	emballer
par	PRP	par
ces	PRO:DEM	ce
créatures	NOM	créature
bleues	ADJ	bleu
et	KON	et
j'	PRO:PER	je
avais	VER:impf	avoir
peur	NOM	peur
d'	PRP	de
un	DET:ART	un
scénario	NOM	scénario
creux	ADJ	creux
...	PUN	...
Puis	NAM	Puis
j'	PRO:PER	je
ai	VER:pres	avoir
entendu	VER:pper	entendre
et	KON	et
lu	VER:pper	lire
ici	ADV	ici
d'	PRP	de
excellents	ADJ	excellent
échos	NOM	écho
...	PUN	...
Ce	NOM	Ce
qui	PRO:REL	qui
m'	PRO:PER	me
a	VER:pres	avoir
décidé	VER:pper	décider
à	PRP	à
aller	VER:infi	aller
le	PRO:PER	le
voir	VER:infi	voir
en	PRP	en
3D	NOM	3D
!	SENT	!
Première	NUM	premier
impression	NOM	impression
:	PUN	:
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
grosse	ADJ	gros
claque	NOM	claque
visuelle	ADJ	visuel
...	PUN	...
Qui	NAM	Qui
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
envie	NOM	envie
de	PRP	de
se	PRO:PER	se
balader	VER:infi	balader
dans	PRP	dans
les	DET:ART	le
forêts	NOM	forêt
merveilleuses	ADJ	merveilleux
de	PRP	de
pandora	NOM	pandora
après	PRP	après
avoir	VER:infi	avoir
vu	VER:pper	voir
le	DET:ART	le
film	NOM	film
?	SENT	?
?	SENT	?
?	SENT	?
Pour	PRP	pour
le	DET:ART	le
contenu	NOM	contenu
,	PUN	,
le	DET:ART	le
scénario	NOM	scénario
ne	ADV	ne
m'	PRO:PER	me
a	VER:pres	avoir
pas	ADV	pas
déçu	VER:pper	décevoir
du	PRP:det	du
tout	NOM	tout
,	PUN	,
ce	PRO:DEM	ce
lien	NOM	lien
entre	PRP	entre
les	DET:ART	le
Navys	NAM	Navys
et	KON	et
la	DET:ART	le
nature	NOM	nature
nous	PRO:PER	nous
permet	VER:pres	permettre
à	PRP	à
nous	PRO:PER	nous
spectateur	NOM	spectateur
de	PRP	de
presque	ADV	presque
ressentir	VER:infi	ressentir
les	DET:ART	le
choses	NOM	chose
à	PRP	à
leur	DET:POS	leur
place	NOM	place
...	PUN	...
L'	DET:ART	le
immersion	NOM	immersion
est	VER:pres	être
totale	ADJ	total
...	PUN	...
Ce	VER:simp	Ce
film	NOM	film
marquera	VER:futu	marquer
l'	DET:ART	le
histoire	NOM	histoire
du	PRP:det	du
cinéma	NOM	cinéma
!	SENT	!
