Bonsoir	INT	bonsoir
,	PUN	,
je	PRO:PER	je
n'	ADV	ne
avais	VER:impf	avoir
jamais	ADV	jamais
pris	VER:pper	prendre
le	DET:ART	le
temps	NOM	temps
de	PRP	de
m'	PRO:PER	me
inscrire	VER:infi	inscrire
sur	PRP	sur
allociné	ADJ	allociné
pour	PRP	pour
poster	VER:infi	poster
une	DET:ART	un
critique	NOM	critique
,	PUN	,
mais	KON	mais
je	PRO:PER	je
me	PRO:PER	me
dois	VER:pres	devoir
de	PRP	de
faire	VER:infi	faire
pour	PRP	pour
ce	PRO:DEM	ce
film	NOM	film
.	SENT	.
Avatar	NOM	avatar
est	VER:pres	être
tout	ADV	tout
simplement	ADV	simplement
MAGNIFIQUE	ADJ	magnifique
.	SENT	.
Sublime	NOM	sublime
en	PRP	en
tout	PRO:IND	tout
point	NOM	point
.	SENT	.
Les	DET:ART	le
images	NOM	image
sont	VER:pres	être
magiques	ADJ	magique
.	SENT	.
On	PRO:PER	on
se	PRO:PER	se
sent	VER:pres	sentir
transporté	VER:pper	transporter
du	PRP:det	du
début	NOM	début
a	VER:pres	avoir
la	DET:ART	le
fin	NOM	fin
,	PUN	,
on	PRO:PER	on
souhaiterais	VER:cond	souhaiter
que	KON	que
ca	VER:subi	ca
ne	ADV	ne
finisse	VER:subi	finir
jamais	ADV	jamais
tellement	ADV	tellement
l'	DET:ART	le
immersion	NOM	immersion
et	KON	et
totale	ADJ	total
.	SENT	.
J'	PRO:PER	je
ai	VER:pres	avoir
vraiment	ADV	vraiment
adoré	VER:pper	adorer
ce	PRO:DEM	ce
film	NOM	film
,	PUN	,
je	PRO:PER	je
compte	VER:pres	compter
le	PRO:PER	le
revoir	VER:infi	revoir
et	KON	et
le	PRO:PER	le
revoir	VER:infi	revoir
beaucoup	ADV	beaucoup
de	PRP	de
foi	NOM	foi
,	PUN	,
en	PRO:PER	en
3D	VER:futu	3D
encore	ADV	encore
une	DET:ART	un
fois	NOM	foi|fois
,	PUN	,
car	KON	car
il	PRO:PER	il
mérite	VER:pres	mériter
absolument	ADV	absolument
d'	PRP	de
être	VER:infi	être
vue	NOM	vue
et	KON	et
revue	NOM	revue
.	SENT	.
Certain	PRO:IND	certain
crierons	VER:futu	crier
au	PRP:det	au
plagiat	NOM	plagiat
,	PUN	,
a	VER:pres	avoir
l'	DET:ART	le
histoire	NOM	histoire
simpliste	ADJ	simpliste
et	KON	et
peu	ADV	peu
originale	ADJ	original
,	PUN	,
moi	PRO:PER	moi
je	PRO:PER	je
vois	VER:pres	voir
un	DET:ART	un
monde	NOM	monde
nouveau	ADJ	nouveau
,	PUN	,
beau	ADJ	beau
,	PUN	,
coloré	VER:pper	colorer
,	PUN	,
unique	ADJ	unique
,	PUN	,
merveilleux	ADJ	merveilleux
,	PUN	,
fantastique	ADJ	fantastique
et	KON	et
surtout	ADV	surtout
très	ADV	très
très	ADV	très
attachant	ADJ	attachant
.	SENT	.
Une	DET:ART	un
fois	NOM	foi|fois
Pendora	VER:simp	Pendora
visité	VER:pper	visiter
,	PUN	,
pour	KON	pour
ne	ADV	ne
pouvez	VER:pres	pouvoir
vous	PRO:PER	vous
en	PRP	en
échapper	VER:infi	échapper
!	SENT	!
Regarder	VER:infi	regarder
ce	PRO:DEM	ce
film	NOM	film
et	KON	et
vous	PRO:PER	vous
serez	VER:futu	être
baigné	VER:pper	baigner
a	VER:pres	avoir
tous	PRO:IND	tout
jamais	ADV	jamais
par	PRP	par
la	DET:ART	le
fabuleuse	ADJ	fabuleux
histoire	NOM	histoire
de	PRP	de
Jake	NAM	Jake
et	KON	et
les	DET:ART	le
Na'Vi	NAM	Na'Vi
.	SENT	.
A	PRP	à
voir	VER:infi	voir
,	PUN	,
a	VER:pres	avoir
conserver	VER:infi	conserver
,	PUN	,
a	VER:pres	avoir
acheter	VER:infi	acheter
;	PUN	;
bref	ADV	bref
le	DET:ART	le
film	NOM	film
de	PRP	de
tous	PRO:IND	tout
les	DET:ART	le
temps	NOM	temps
jusqu'	PRP	jusque
au	PRP:det	au
prochain	ADJ	prochain
:	PUN	:
)	PUN	)
Joan	NAM	Joan
,	PUN	,
un	DET:ART	un
Fan	NAM	Fan
de	PRP	de
Avatar	NAM	Avatar
.	SENT	.
